BRAND,SIZE_CODE,COUNTY,STATE,TRADE_CHANNEL,FSCL_WK_END_DTE,SALE_QUANTITY
TOSTITOS,14,BEXAR,TX,CHANNEL B,1/29/2022,7931
BAKEN-ETS,9,HOOD,TX,CHANNEL A,12/18/2021,158
LAY'S,4,DENTON,TX,CHANNEL B,5/21/2022,24070
BAKEN-ETS,17,PANOLA,TX,CHANNEL A,11/13/2021,49
LAY'S,4,HAYS,TX,CHANNEL A,11/6/2021,851
FRITOS,3,HALE,TX,CHANNEL A,7/2/2022,581
TOSTITOS,5,DENTON,TX,CHANNEL A,6/18/2022,641
DORITOS,3,WEBB,TX,CHANNEL A,9/3/2022,7117
DORITOS,3,MOORE,TX,CHANNEL A,7/2/2022,841
FUNYUNS,4,JEFFERSON,TX,CHANNEL A,8/20/2022,610
CHEETOS,4,GREGG,TX,CHANNEL B,7/30/2022,3166
RUFFLES,5,HARRIS,TX,CHANNEL A,8/20/2022,4960
MATADOR    (MEATS),31,DALLAS,TX,CHANNEL A,3/19/2022,1206
CHEETOS,4,HARRIS,TX,CHANNEL B,9/25/2021,108053
